USING: 
Simple TinyGPS library v. 13
by Mikal Hart

Initializing SD card...initialization failed!
----------------------------------------------------------------------------
Calibrating sensors...
MQ135 R0 for CO2 = 1316
MQ9 R0 for CO = 273
MQ4 R0 for NH4 = 95
-----------------------------------------------------------------------------
S|HD|LAT    |LONG   |DateTime               |Age|MQ4|MQ9|MQ135|CO2_ppm
a|OP
t
s
------------------------------------------------------------------------------
8|133|44.369789|26.152528|12/09/2017 13:36:20 |748|92|266|59|400.42
8|133|44.369789|26.152544|12/09/2017 13:36:22 |755|91|265|59|400.42
8|133|44.369785|26.152559|12/09/2017 13:36:24 |768|91|266|59|400.42
8|133|44.369781|26.152568|12/09/2017 13:36:26 |773|91|266|59|400.42
8|133|44.369789|26.152566|12/09/2017 13:36:28 |778|91|266|59|400.42
8|133|44.369789|26.152574|12/09/2017 13:36:30 |784|91|266|59|400.42
8|133|44.369800|26.152591|12/09/2017 13:36:32 |780|91|264|59|400.42
8|133|44.369861|26.152633|12/09/2017 13:36:34 |780|91|265|59|419.73
8|133|44.369926|26.152721|12/09/2017 13:36:36 |784|91|266|60|400.42
8|132|44.370029|26.152791|12/09/2017 13:36:38 |786|92|267|60|400.42
8|132|44.370162|26.152872|12/09/2017 13:36:40 |791|91|268|60|419.73
8|132|44.370311|26.152975|12/09/2017 13:36:42 |796|91|268|60|419.73
8|132|44.370468|26.153083|12/09/2017 13:36:44 |801|91|269|60|419.73
8|132|44.370624|26.153160|12/09/2017 13:36:46 |804|91|269|60|419.73
8|132|44.370746|26.153238|12/09/2017 13:36:48 |810|90|269|60|419.73
7|150|44.370868|26.153318|12/09/2017 13:36:50 |818|91|269|60|419.73
8|132|44.370990|26.153396|12/09/2017 13:36:52 |820|90|269|60|419.73
8|132|44.371109|26.153484|12/09/2017 13:36:54 |829|90|269|60|419.73
8|150|44.371215|26.153572|12/09/2017 13:36:56 |831|90|269|60|419.73
7|150|44.371345|26.153659|12/09/2017 13:36:58 |833|90|269|60|419.73
7|150|44.371475|26.153760|12/09/2017 13:37:00 |839|90|269|60|419.73
7|150|44.371631|26.153867|12/09/2017 13:37:02 |848|90|269|60|419.73
7|150|44.371795|26.153974|12/09/2017 13:37:04 |852|91|269|60|400.42
8|132|44.371959|26.154111|12/09/2017 13:37:06 |856|90|269|60|400.42
8|145|44.372127|26.154251|12/09/2017 13:37:08 |859|90|269|60|400.42
8|132|44.372314|26.154384|12/09/2017 13:37:10 |865|90|269|59|419.73
