USING: 
Simple TinyGPS library v. 13
by Mikal Hart

Initializing SD card...initialization failed!
----------------------------------------------------------------------------
Calibrating sensors...
MQ135 R0 for CO2 = 721
MQ9 R0 for CO = 333
MQ4 R0 for NH4 = 149
-----------------------------------------------------------------------------
S|HD|LAT    |LONG   |DateTime               |Age|MQ4|MQ9|MQ135|CO2_ppm
a|OP
t
s
------------------------------------------------------------------------------
7|125|44.370002|26.152355|11/11/2017 17:41:53 |458|149|332|107|375.66
7|125|44.370006|26.152351|11/11/2017 17:41:55 |463|148|333|106|375.66
8|117|44.370006|26.152341|11/11/2017 17:41:57 |472|148|333|106|375.66
8|117|44.370006|26.152332|11/11/2017 17:41:59 |474|148|333|106|375.66
8|117|44.370006|26.152317|11/11/2017 17:42:01 |477|148|333|106|375.66
8|117|44.370002|26.152311|11/11/2017 17:42:03 |474|148|332|106|375.66
8|117|44.370002|26.152307|11/11/2017 17:42:05 |491|148|332|107|375.66
8|117|44.370002|26.152303|11/11/2017 17:42:07 |499|148|333|107|375.66
8|117|44.370002|26.152297|11/11/2017 17:42:09 |505|148|332|106|375.66
8|125|44.369998|26.152294|11/11/2017 17:42:11 |513|149|332|106|375.66
8|125|44.370002|26.152292|11/11/2017 17:42:13 |518|147|333|107|375.66
